"module","question","answer"
"Program Prerequisites","I am required to take a prerequisite but I already took a similar course, do I still have to take it?","If you took the course at another university that sounds similar, please provide the Department with the syllabus of the course you already took. The Admissions Committee may reconsider their decision given the new information. However, it is not guaranteed that the decision will change."
"Program Prerequisites","Are the prerequisite courses counted toward the degree program course requirements?","Program prerequisites are not counted towards the graduate degree program requirements."
"Registration","How do I register for classes?","Once you set up your BU login and Kerberos password, please view our short registration video <a href=""https://cdnapisec.kaltura.com/p/2159741/sp/215974100/embedIframeJs/uiconf_id/39435141/partner_id/2159741?iframeembed=true&playerId=kaltura_player&entry_id=1_myblkrcx"">here</a>."
"Registration","Do I need advisor permission to register for classes?","If you have been accepted as a Master’s Degree candidate, are in good standing with the university, and if you are going to register for four courses or less, you do not need an advisor signature to register.

If you are not a degree candidate, you may register for two courses a semester. However, do not take more than two graduate-level courses before being admitted into a program."
"Registration","Do I have to take the course prerequisite before registering for a course?","Students who are fully admitted to a degree program are generally considered to have the knowledge equivalent to the program prerequisites only. If you are planning to register for a course which has a graduate level course (500 or above) as a prerequisite, please first take the prerequisite course or obtain instructor permission to register without having taken the required prerequisite."
"Registration","Can I take courses in formats outside of that for which I was accepted?","U.S. Citizens or Permanent Residents may register for online, on campus or blended courses that meet their program requirements. It is recommended that you primarily take classes in the format for which you applied. If you decide that you will be primarily taking classes in a different format, please notify the Department so that your program registration status may be updated.

International students (non U.S. Citizens or Permanent Residents) who are enrolled in an online program must notify the Department prior to registering for on campus or blended courses to receive guidance on the necessary requirements from the International Students and Scholars Office.

International students (non U.S. Citizens or Permanent Residents) who are enrolled in an on campus program must notify the Department prior to registering for online or blended courses to receive guidance on the necessary requirements from the International Students and Scholars Office. In general, the ISSO requires that F1 visa holders who register for an online or blended course in any given semester must also be registered for eight credits of on-campus course registration. The international student who takes an online or blended course must otherwise maintain full-time registration. Twelve credits (3 classes) is considered to be a full-time course load for graduate students."
"Registration","What if I took a class in my undergraduate program that is similar to one of the graduate program requirements?","You may submit a <a href=""https://www.bu.edu/csmet/academic-programs/met-computer-science-academic-policies-manual/waiver-request-form/"">petition for a course waiver</a>. If your waiver is approved, you may substitute the requirement with an elective at the same numerical level or higher. A course waiver does not reduce the amount of courses that you will need to take towards your program requirements."
"Registration","How can I drop classes from my schedule?","If you are registered for more than one course in a given semester and are dropping one course only, you may adjust your registration through the registration tab in <a href=""https://student.bu.edu/MyBU/s/academics"">Student Portal</a>.

If you need to drop to zero credits for the entire semester, please submit the <a href=""https://www.bu.edu/met/for-students/met-policies-procedures-resources/withdrawal/"">Withdrawal/Leave of Absence Form</a>.

Please also review the important course dates to determine any tuition or grade implications:

- On Campus /Blended Course: <a href=""https://www.bu.edu/reg/calendars/refund/"">Withdrawal & Tuition Refund Schedule</a>
- Online Course: <a href=""https://www.bu.edu/online/course-schedules/important-dates/"">Important Dates</a>"
"Registration","Can I register for a graduate course offered through another college or school at BU?","Yes, you may take classes outside of MET for your own enrichment but, you must obtain permission from that particular college or school to register. If you would like for the course to be counted toward your degree program requirements, you must also obtain permission from your Academic Advisor prior to registration. Please email the course description and syllabus to your designated program coordinator to determine whether it can count towards your degree program or not."
"Program Requirements","The program requirements have changed since I was accepted, which requirements should I follow?","Changes in courses or requirements occur because our department is continuously updating and improving graduate degree programs to maintain our high standards and to keep up to date with the latest technologies and trends. Our department will honor the original requirements that were in effect at the time of your matriculation into the program. Or, you may choose to follow the new requirements."
"Program Requirements","I want to complete two certificate programs and noticed courses overlap between the two certificates. Can the courses be counted towards both certificate program requirements?","In the case of some courses overlapping, only one course will be counted toward both certificates. If two courses overlap, then the second course counts toward only one certificate and will be replaced by some other course (that has to be authorized by the Department) for the second certificate."
"Program Requirements","If I am interested in a graduate course that is not listed as an elective option, can I apply it towards my degree?","Please contact your designated program coordinator by email or phone to determine if this graduate course will meet the requirements for your master’s program."
"Program Completion","What is the minimum GPA requirement to graduate?","To graduate, students must have a cumulative GPA of 3.0 or higher. No grade lower than a ‘C’ will be counted towards degree program requirements."
"Program Completion","Is there a maximum time to complete my program?","Yes, students are required to complete their degree program within six years. If you believe you will need longer than six years to complete your requirements, please contact the Department."
"Program Completion","Degree requirements have changed since I was accepted into the program. Will the courses I took still be considered for graduation?","Courses and program requirements are subject to change as curriculum updates are made. Courses completed before the change will count towards graduation requirements as long as you were fully admitted to the degree program under the old requirements. The Master of Science degree must be completed in six years; courses that are over six years old have expired. Please contact your designated program coordinator if this applies to you."
"Program Completion","I am ready to graduate, what do I need to do?","Once you have registered for your final class in the program, fill out the <a href=""https://www.bu.edu/csmet/graduationapplication/"">Application for Graduation</a>."
"Program Completion","I have completed my certificate program requirements, how do I get my certificate?","Once you have completed your final course towards the requirements and received a grade, fill out the <a href=""https://www.bu.edu/csmet/certificatecompletion/"">Certificate Program Completion form</a>. Please be aware that students must apply and be accepted into a certificate program in order to be issued the certificate. Students should take no more than two courses towards the certificate program prior to applying. Once the application form is received and it has been determined that you have met the certificate requirements, the certificate will be annotated on your transcript and you will receive the certificate by mail within two to four weeks."
"International Students","How do I apply for CPT/OPT?","You may apply for CPT through the internship course, MET CS 506 Internship in Computer Science. Further details are available at: <a href=""http://www.bu.edu/csmet/careers/internships/"">http://www.bu.edu/csmet/careers/internships/</a>

Further details regarding OPT are available on the ISSO website at: <a href=""https://www.bu.edu/isso/employment-internships/student-off-campus-work-and-training/optional/"">https://www.bu.edu/isso/employment-internships/student-off-campus-work-and-training/optional/</a>"
"International Students","Do international students have to maintain full time status?","Immigration regulations require F-1 and J-1 students to register for, and complete, a full course of study each Fall and Spring Semester. Further details are available on the <a href=""https://www.bu.edu/isso/immigration-status/maintaining-status/courseload/"">ISSO website</a>."
"International Students","Can I change from a full-time to part-time student in the last semester of my program?","Degree-seeking students in F-1 or J-1 status may be authorized to drop below full-time enrollment in their final semester, if they will complete all program requirements by the end of that semester. Proof of expected graduation is required in order for the ISSO to authorize this. Before requesting authorization from the ISSO for reduced enrollment during your final semester, you should <a href=""https://www.bu.edu/csmet/graduationapplication/"">apply to graduate</a>."
"International Students","Is there any writing assistance provided to students who do not have English as a native language?","Yes, the <a href=""https://www.bu.edu/com/for-current-students/the-com-writing-center/"">COM Writing Center</a> and the <a href=""https://www.bu.edu/erc/"">Educational Resource Center</a> are open to help BU students with academic writing."
"Other","Are there any internship/work opportunities or resources provided by the department?","Yes, visit our <a href=""https://www.bu.edu/csmet/careers/"">careers page</a>."
"Other","Who is my advisor?","Students with academic advising questions are encouraged to reach out to their designated Faculty Advisors. Relevant contact information can be found on Student Link. Students can attend their faculty advisors’ scheduled office hours."
"Other","Who do I contact?","Applicants should contact our Computer Science Admissions Advising team at csadmissions@bu.edu or 617-353-6004.

For IT-related services and support, you should contact the BU MET IT department at metit@bu.edu or 617-358-5401.

Current students may contact one of the following department administrators for assistance:

- Online program administrative inquiries may be directed to Annie Imperato at metcsol@bu.edu.
- On Campus/Blended program administrative inquiries may be directed to Ronette Lyle at metcs@bu.edu.

Students with academic advising questions are encouraged to reach out to their designated Faculty Advisors. Relevant contact information can be found on Student Link."
"Other","How do I cite my sources?","The Boston University Library website has several guides on how to properly cite sources at: <a href=""http://library.bu.edu/citeys"">http://library.bu.edu/citeys</a>. Writing assistance is also available at the Educational Resource Center: <a href=""https://www.bu.edu/erc/about/"">https://www.bu.edu/erc/about/</a>."
"Other","Are there any student organizations for Computer Science at BU?","Yes, here are a few organizations that you may be interested in:

- <a href=""http://builds.cc/"">BUILDS</a>: Student-run organization for collaborative tech projects
- <a href=""https://buwics.wordpress.com/"">BU Women in Computer Science</a>: Organization for female computer scientists.
- <a href=""http://openwebbu.org/"">Open Web</a>: Student-run organization to help non-profit companies develop websites."
